KA-Nr;Bundesland;Bezirk;Versorgungszone;Versorgungsregion;Bezeichnung;Öffentlichkeitsrecht;Gemeinnützigkeit;Fondszugehörigkeit;Adresse;Telefon, Fax;Homepage;Ärztlicher Leiter;Pflegedienstleiter;Verwaltungsdirektor;Bettenanzahl;Bettenführende Fachrichtungen;Intensivbereiche;Großgeräte;Träger-Nr.;Träger Bezeichnung;Träger-Adresse;Träger Telefon, Fax;Träger Homepage
K416;Oberösterreich;Linz(Stadt);Nord;OÖ Zentralraum Linz;Allgemeines Krankenhaus der Stadt Linz;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Krankenhausstraße 9, 4020 Linz, Donau;0732/7806-0, 0732/7806-1325;http://www.akh.linz.at;Dr. Heinz Brock;DGKP MSc Erich Gattner;Dr. Karl Lenz;861;AN, AU, CH, DER, GEM, GGH, HNO, IM, KI, MKG, NEU, OR, PUL, UC, URO,;AN, IM, NEU;COR, CT, ECT, MR, PET;T404;Allgemeines Krankenhaus der Stadt Linz Gesellschaft mbH;Krankenhausstraße 9, 4020 Linz, Donau;0732/7070-2222, 0732/7070-2244;http://www.linz.at
K417;Oberösterreich;Linz(Stadt);Nord;OÖ Zentralraum Linz;Krankenhaus der Barmherzigen Brüder Linz;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Seilerstätte 2, 4020 Linz, Donau;0732/7897-0, 0732/7897-1099;http://www.bblinz.at;Priv.-Doz. Dr. Thomas Müller;DGKS Doris Selgrad;Mag. Peter Ausweger;337;AN, AU, CH, GGH, IM, NEU;AN, IM;CT, MR;T480;Konvent der Barmherzigen Brüder Linz;Seilerstätte 2, 4010 Linz, Donau;0732/7897-0, 0732/7897-1099;http://www.barmherzige-brueder.at
K418;Oberösterreich;Linz(Stadt);Nord;OÖ Zentralraum Linz;Krankenhaus der Barmherzigen Schwestern vom Hl. Vinzenz von Paul Linz;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Seilerstätte 4, 4020 Linz, Donau;0732/7677-0, 0732/7677-7200;http://www.bhs.at/linz/;Prim. Univ.-Prof. Dr. Christian Lampl;PDL Rosa Schwarzbauer;MMag. Walter Kneidinger;663;AN, CH, GEM, GGH, HNO, IM, KI, NEU, NUK, OR, PCH, URO,;AN, IM, KI;COR, CT, ECT, MR, PET, STR;T485;Krankenhaus der Barmherzigen Schwestern Linz Betriebsgesellschaft mbH;Seilerstätte 4, 4020 Linz, Donau;0732/7677-0, 0732/7677-7200;http://www.bhs.at
K419;Oberösterreich;Linz(Stadt);Nord;OÖ Zentralraum Linz;Krankenhaus der Elisabethinen Linz;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Fadingerstraße 1, 4020 Linz, Donau;0732/7676-0, 0732/7676-2106;http://www.elisabethinen.or.at;Dr. MSc Stefan Meusburger;DGKS, Krankenhausmanagerin Regina Kickingereder;Dipl. KHBW Hermann Ganhör;476;AN, CH, DER, GEM, GGH, IM, PUL, URO,;AN, IM;COR, CT, ECT, MR, PET;T407;Krankenhaus der Elsiabethinen Linz GmbH;Fadingerstraße 1, 4020 Linz, Donau;0732/7676, 0732/7676-2106;http://www.elisabethinen.or.at
K420;Oberösterreich;Linz(Stadt);Nord;OÖ Zentralraum Linz;Unfallkrankenhaus Linz;ohne Öffentlichkeitsrecht;gemeinnützig;Sonstige;Garnisonstraße 7, 4021 Linz, Donau Postfach;0732/6920-0, 0732/6920-268;http://www.auva.at/ukhlinz;Univ.-Doz. Prim. Dr. Albert Kröpl;PDL Andrea Mitterlehner;Mag. Hermann Kloimstein;155;UC;;CT, MR;T081;Allgemeine Unfallversicherungsanstalt, Medizinische Direktion;Adalbert-Stifter-Straße 65, 1200 Wien;01/33111;http://www.auva.at
K421;Oberösterreich;Linz(Stadt);Nord;OÖ Zentralraum Linz;Klinik Diakonissen Linz;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Weißenwolffstraße 15, 4020 Linz, Donau;0732/7675-0, 0732/782079;http://www.diakonissen-krankenhaus-linz.at;Prim. Dr. Josef Macher;DGKS Gerlinde Wagner;Dr. Robert Schuetz;119;AN, AU, CH, DER, GGH, HNO, IM, NEU, OR, PCH, UC, URO, ZMK;;CT;T086;Klinik Diakonissen Linz Gesellschaft mbH;Martin Boos-Straße 4, 4210 Gallneukirchen;07235/63251, 07235/63251-201;http://www.diakoniewerk.at
K425;Oberösterreich;Linz(Stadt);Nord;OÖ Zentralraum Linz;Oberosterreichische Landes-Nervenklinik Wagner-Jauregg Linz;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Wagner-Jauregg-Weg 15, 4020 Linz, Donau;050 554/62-0, 050 554/62-22564;http://www.wagner-jauregg.at;Univ.-Prof. DDr. Gabriele Sachs;KH-Mang. Gertraud Fribl;Dipl. KHBW Stefan Horner;658;GEM, KJP, NC, NEU, PSY,;GEM, NEU;CT, ECT, MR, PET;T401;Oö. Gesundheits- und Spitals AG;Goethestraße 89, 4020 Linz, Donau;050 554/60, 050 554/60-40140;http://www.gespag.at
K427;Oberösterreich;Ried im Innkreis;Nord;Innviertel;Krankenhaus der Barmherzigen Schwestern vom Hl. Vinzenz von Paul Ried;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Schloßberg 1, 4910 Ried im Innkreis;07752/602-0, 07752/602-6500;http://www.bhs-ried.at;Univ. Prof. Prim. Dr. Friedrich Renner;akad. PDL Elisabeth Vormayr;Dipl. KHBW Josef Schachinger;425;AN, AU, CH, GEM, GGH, HNO, IM, KI, NEU, OR, UC, URO;AN, IM, KI;ECT;T085;Krankenhaus der Barmherzigen Schwestern Ried Betriebsgesellschaft mbH;Schloßberg 1, 4910 Ried im Innkreis;07752/602-0, 07752/602-6500;http://www.bhs.at
K428;Oberösterreich;Schärding;Nord;Innviertel;Landeskrankenhaus Schärding;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Alfred-Kubin-Straße 2, 4780 Schärding;050 554/78-0, 050 554/78-1014;http://www.lkh-schaerding.at;Prim. Dr. Ernst Rechberger (Interimistisch);Mag. Martina Bruckner;Thomas Diebetsberger;154;CH, GEM, GGH, IM, PSY, UC, URO;GEM;CT;T401;Oö. Gesundheits- und Spitals AG;Goethestraße 89, 4020 Linz, Donau;050 554/60, 050 554/60-40140;http://www.gespag.at
K429;Oberösterreich;Steyr-Land;Nord;Pyhrn-Eisenwurzen;Sonderkrankenanstalt Sierning;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Neustraße 14, 4522 Sierning;07259/2142-0, 07259/2142-4445;http://www.kh-sierning.at;Prim. Dr. Michael Berger;MBA Peter Binder;Dr. Irmtraud Ehrenmüller;96;IM;;CT;T430;Krezschwestern Sierning Gesellschaft mbH;Neustraße 14, 4522 Sierning;07259/2142-0, 07259/2142-4445;http://www.kh-sierning.at
K431;Oberösterreich;Steyr(Stadt);Nord;Pyhrn-Eisenwurzen;Landeskrankenhaus Steyr;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Sierninger Straße 170, 4400 Steyr;050 554/66-0, 050 554/66-1014;http://www.lkh-steyr.at;Prim. Univ.-Prof. Dr. Gabriele Baumann, Msc, Mba;Walpurga Auinger;Mag. Heinz Kosma;752;AN, AU, CH, GEM, GGH, HNO, IM, Inquisitenspital, KI, NEU, OR, PSY, PUL, UC, URO;AN, IM, KI, PUL;CT, ECT, MR;T401;Oö. Gesundheits- und Spitals AG;Goethestraße 89, 4020 Linz, Donau;050 554/60, 050 554/60-40140;http://www.gespag.at
K434;Oberösterreich;Wels(Stadt);Nord;OÖ Zentralraum Wels;Klinikum Wels-Grieskirchen;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Grieskirchner Straße 42, 4600 Wels;07242/415-0, 07242/415-2100;http://www.klinikum-wels.at;Prim.Univ.-Prof. Dr. Klemens Trieb;Mag. Andrea Voraberger;Mag. Dietbert Timmerer;1221;AN, AU, CH, DER, GEM, GGH, HNO, IM, KI, MKG, NEU, OR, PSY, PUL, UC, URO,;AN, CH, IM, KI;COR, CT, ECT, MR;T406;Klinikum Kreuzschwestern Wels Gesellschaft mbH;Grieskirchner Straße 42, 4600 Wels;07242/415-0, 07242/415-2100;http://www.klinikum-wels.at
K436;Oberösterreich;Steyr-Land;Nord;Pyhrn-Eisenwurzen;Sonderkrankenanstalt zur Behandlung unspezifischer Atemwegserkrankungen, Erkrankungen des rheumatischen Formenkreises sowie für postoperative Rehabilitation;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Mühlein 2, 3335 Weyer, Oberösterreich;07355/86510, 07355/8651-48190;http://www.ska-weyer.at;Prim. Dr. Alfred Lichtenschopf;DGKS Elfriede Mayrhofer;Dipl. KHBW Josef Madlmayr;133;Rehabilitationszentrum (Interne);;;T090;Pensionsversicherungsanstalt Wien;Friedrich-Hillegeist-Straße 1, 1021 Wien Postfach;01/050303, 01/050303-288 50;http://www.pensionsversicherung.at
K437;Oberösterreich;Steyr-Land;Nord;Pyhrn-Eisenwurzen;Klinikum Bad Hall für Herz- Kreislauf- und neurologische Rehabilitation;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Parkstraße 12, 4540 Bad Hall;07258/3071, 07258/3071-607;;Prim. Dr. Gernot Diem;DGKS Ulrike Oberndorfer;Dipl. KHBW Alois Haberfellner;122;Rehabilitationszentrum (Interne);;ECT;T345;KBB-Klinikum Besitz- und Betriebsgesellschaft mbH;Schottengasse 4/32, 1010 Wien;;
K438;Oberösterreich;Grieskirchen;Nord;OÖ Zentralraum Wels;Sonderkrankenanstalt  Bad Schallerbach Rehabilitationszentrum rheumatologische, orthopädische und neurologische Erkrankungen;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Schönauer Straße 45, 4701 Bad Schallerbach;07249/433, 07249/433-45190;http://www.ska-badschallerbach.at;Prim. Dr. Franz Mayrhofer;PDL Veronika Lonsing;Thomas Edelbauer;157;Rehabilitationszentrum (Interne);;;T090;Pensionsversicherungsanstalt Wien;Friedrich-Hillegeist-Straße 1, 1021 Wien Postfach;01/050303, 01/050303-288 50;http://www.pensionsversicherung.at
K441;Oberösterreich;Rohrbach;Nord;Mühlviertel;Landeskrankenhaus Rohrbach;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Krankenhausstraße 1, 4150 Rohrbach in Oberösterreich;050 554/77-0, 050 554/77-22554;http://www.lkh-rohrbach.at;Prim. Dr. Peter Stumpner;DGKS Gertrude Schmitzberger;MAS MBA Leopold Preining;202;CH, GEM, GGH, HNO, IM, KI, UC, URO;GEM;CT;T401;Oö. Gesundheits- und Spitals AG;Goethestraße 89, 4020 Linz, Donau;050 554/60, 050 554/60-40140;http://www.gespag.at
K442;Oberösterreich;Gmunden;Nord;Traunviertel-Salzkammergut;Rehabilitationszentrum Bad Ischl-Lindau;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Lindau 78, 4820 Bad Ischl;06132/242 53, 06132/242 53-73190;http://www.ska-badischl.at;Univ.-Prof. Prim. Dr. Albrecht Falkenbach;Thomas Sams;KH-Man. Harald Aichinger;144;Rehabilitationszentrum (Interne);;;T090;Pensionsversicherungsanstalt Wien;Friedrich-Hillegeist-Straße 1, 1021 Wien Postfach;01/050303, 01/050303-288 50;http://www.pensionsversicherung.at
K443;Oberösterreich;Vöcklabruck;Nord;Traunviertel-Salzkammergut;Sanatorium Prim. Dr. Rupp - Regeneratorium St. Georgen;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Kogl 4, 4880 St. Georgen im Attergau;07667/6161, 07667/6160;http://www.sanrupp.at;Prim. Dr. Christian Mahringer;Dipl. Sr. Sonja Wachter;Walter Purer;191;OR;;;T417;Sanatorium Prim. Dr. Gerhard Rupp - Regeneratorium St. Georgen Gesellschaft mbH;Kogl 4, 4880 St. Georgen im Attergau;07667/6161, 07667/6160;http://www.sanrupp.at
K444;Oberösterreich;Linz(Stadt);Nord;OÖ Zentralraum Linz;Sonderkrankenanstalt für Kinder- und Jugendneuropsychiatrie;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Prechtlerstraße 30-32, 4030 Linz, Donau;0732/349 271, 0732349 271-48;http://www.spattstrasse.at;Prim. Dr. Michael Merl;Mag. Irene Hanke;Geschäftsführer Gottfried Fux;30;KJP;;;T418;Zentrum Spattstraße Gem. GmbH;Willingerstraße 21, 4030 Linz, Donau;;http://www.spattstrasse.at
K446;Oberösterreich;Gmunden;Nord;Traunviertel-Salzkammergut;HerzReha Herz Kreislaufzentrum Bad Ischl;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Gartenstraße 9, 4820 Bad Ischl;06132/278 01, 06132/278 01-5014;;Univ.-Prof. Prim. Dr. Robert Schmoliner;Heinz Carda;Gerhard Moisl;138;IM;;;T423;HKS-SKA  Bad Ischl Betriebsgesellschaft mbH;Gartenstraße 9, 4820 Bad Ischl;;
K447;Oberösterreich;Grieskirchen;Nord;OÖ Zentralraum Wels;Rehabilitations- und Kurzentrum 'Austria' - Sonderkrankenanstalt für Herz- und Kreislauferkrankungen;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Stifterstraße 11, 4701 Bad Schallerbach;07249/425 41, 07249/425 41-55;;Univ.-Prof. Prim. Dr. Peter Schmid;Andreas Strassl;Hans Peter Fuchs;177;Rehabilitationszentrum (Interne);;COR, ECT;T093;Versicherungsanstalt öffentlich Bediensteter;Josefstädterstraße 80, 1081 Wien Postfach;01/050405-0, 01/050405-21009;http://www.bva.at
K448;Oberösterreich;Braunau am Inn;Nord;Innviertel;Sonderkrankenanstalt Aspach;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Revitalplatz 1-2, 5252 Aspach, Innkreis;07755/6801, 07755/6801-45;http://www.revital-aspach.at;Dr. Roger Bendorf;DGKP Manfred Moser;Mag. Georg Mendler;195;OR;;;T419;Revital Aspach GmbH & CoKG;Revitalplatz 1-2, 5252 Aspach, Innkreis;;http://www.revital-aspach.at
K449;Oberösterreich;Linz(Stadt);Nord;OÖ Zentralraum Linz;Landes-Frauen- und Kinderklinik Linz;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Krankenhausstraße 26, 4020 Linz, Donau;050 554/63-0, 050 554/63-22204;http://www.frauen-kinderklinik-linz.at;Univ.-Prof. Prim. Dr. Klaus Schmitt;DGKS Klara Dienstl;Dipl. KHBW Franz Pusch;278;GGH, KCH, KI, KJP,;KI;COR;T401;Oö. Gesundheits- und Spitals AG;Goethestraße 89, 4020 Linz, Donau;050 554/60, 050 554/60-40140;http://www.gespag.at
K450;Oberösterreich;Linz-Land;Nord;OÖ Zentralraum Linz;Sonderkrankenanstalt für neurologische und orth. Rehabilitation und Kinderrehabilitation;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Am Dorfplatz 1, Schönering, 4073 Wilhering;07226/40004-0, 02726/40004-40;http://www.mare-gmbh.at/klinik-wilhering;Prim.Dr. Werner Grabmair;Karin Feneberger;Renate Remta-Grieshofer;151;NEU, OR;;;T422;Klinik Wilhering Gesellschaft mbH;Am Dorfplatz 1, Schönering, 4073 Wilhering;07226/40004-0, 07226/40004-10;http://www.mare-gmbh.at/klinik-wilhering
K451;Oberösterreich;Wels-Land;Nord;OÖ Zentralraum Wels;Sonderkrankenanstalt für Krankheiten des Stoffwechselsystems und des Verdauungsapparates;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Neydharting 4, 4654 Bad Wimsbach-Neydharting;07245/25 474-0, 07245/25 474-100;http://interface.gesundheit-pflege.at/betriebe.html;Prim. Dr. Bernhard Schmekal;Gerda Knauer;Dr. Dr. MBA Stephan Wagner;63;IM;;;T425;Moorbad Neydharting Gesellschaft mbH;Sterneckstraße 33, 5020 Salzburg;;http://interface.gesundheit-pflege.at/betriebe.html
K452;Oberösterreich;Gmunden;Nord;Traunviertel-Salzkammergut;Sonderkrankenanstalt für neurologische Rehabilitation Altmünster;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Gmundnerberg 82, 4813 Altmünster;07612 88 000, 07612 88 000 831;http://www.ntgb.at;Prim. Dr. Hermann Moser;DGKP Akad. PDL Kurt  Staudinger;Michaela Schrumpf;156;NEU;;;T424;Neurologische Therapiezentrum Gmundnerberg Gesellschaft mbH;Rudolfstraße 53, 4040 Linz, Donau;;
K453;Oberösterreich;Grieskirchen;Nord;OÖ Zentralraum Wels;Klinikum Schallerbacherhof für orthopädische Rehabilitation;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Schallerbacherhofstraße 1, 4701 Bad Schallerbach;07249/486 41, 07249/486 41-101;http://www.schallerbacherhof.at;Prim. Dr. Renate Strasser;PDL DGKS Sabine Bachleitner;Dipl. KHBW Alois Haberfellner;123;Rehabilitationszentrum (Interne);;;T345;KBB-Klinikum Besitz- und Betriebsgesellschaft mbH;Schottengasse 4/32, 1010 Wien;;
K480;Oberösterreich;Gmunden;Nord;Traunviertel-Salzkammergut;Salzkammergut-Klinikum;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Miller-von-Aichholz-Straße 49, 4810 Gmunden;05 055473-0, 05 055473-22204;http://www.lkh-gmunden.at;Dr. Tilman Königswieser;Gabriele Aster;Günther Dorfinger;k.A.;;;;T401;Oö. Gesundheits- und Spitals AG;Goethestraße 89, 4020 Linz, Donau;050 554/60, 050 554/60-40140;http://www.gespag.at
K505;Salzburg;Sankt Johann im Pongau;Nord;Pinzgau-Pongau-Lungau;Rehabilitationszentrum Bad Hofgastein;ohne Öffentlichkeitsrecht;gemeinnützig;Sonstige;Salzburger Straße 26-30, 5630 Bad Hofgastein;06432/6685, 06432/6686-40225;http://www.ska-badhofgastein.at;Prim. Dr. Reinhold Hawel;DGKS Margarethe Kühberger;Dipl. KHBW Gerhard Maischberger;189;Rehabilitationszentrum (Interne);;;T090;Pensionsversicherungsanstalt Wien;Friedrich-Hillegeist-Straße 1, 1021 Wien Postfach;01/050303, 01/050303-288 50;http://www.pensionsversicherung.at
K512;Salzburg;Hallein;Nord;Salzburg-Nord;Aö Krankenhaus Hallein;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Bürgermeisterstraße 34, 5400 Hallein;06245/799-201, 06245/799-201;http://www.kh-hallein.at;Prim. Univ.-Prof. Dr. Franz Krempler;Mag. DGKP Karl Schwaiger;Mag. Gerald Heitzenberger;163;CH, GEM, GGH, IM;GEM;CT;T503;Halleiner Krankenanstalten-Betriebsgesellschaft mbH;Bürgermeisterstraße 34, 5400 Hallein;06245/799, 06245/799-201;http://www.kh-hallein.at
K514;Salzburg;Zell am See;Nord;Pinzgau-Pongau-Lungau;Allgemein öffentliches Krankenhaus Mittersill des Landes Salzburg;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Felberstraße 1, 5730 Mittersill;06562/4536-404, 06562/4536-601;http://www.krankenhaus-mittersill.at;Prim. Dr. Roland Friedlmeier;DGKS Linda Legat;Dipl. KHBW Bruno Angerer;103;CH, GEM, IM, OR;GEM;CT;T537;Land Salzburg - Abt 8 - Finanz- und Vermögensverwaltung des Amtes der Salzburger Landesregierung;Kaigasse 2a, 5020 Salzburg;;
K517;Salzburg;Salzburg-Umgebung;Nord;Salzburg-Nord;Aö Krankenhaus Oberndorf;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Paracelsusstraße 37, 5110 Oberndorf bei Salzburg;06272/4334-601, 06272/4334-200;http://www.krankenhaus-oberndorf.at;Univ.-Prof. Prim. Dr. Christian Datz;DGKS Maria-Luise Jerabek;Mag. Monika Lehrer;111;CH, GEM, IM, OR;GEM;CT;T505;Stadtgemeinde Oberndorf bei Salzburg - Gemeinnützige KrankenhausbetriebsgmbH;Untersbergstraße 25, 5110 Oberndorf bei Salzburg;06272/4225, 06272/4225-14;http://www.oberndorf.salzburg.at
K518;Salzburg;Sankt Johann im Pongau;Nord;Pinzgau-Pongau-Lungau;Krankenanstalt Obertauern Dr. Aufmesser;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Obertauern 115, 5562 Obertauern;06456/7298, 06456/7501-10;http://www.aufmesser.at;Dr. Werner Aufmesser;Dr. Barbara Aufmesser;Dr. Werner Aufmesser;3;GEM;;;T521;Krankenanstalt Radstadt-Obertauern Dr. Aufmesser Gesellschaft mbH;Judenbühel 3-5, 5550 Radstadt;06452/7501, 06452/7501-10;http://www.aufmesser.at
K519;Salzburg;Hallein;Nord;Salzburg-Nord;Sanatorium 'Oberthurnhof' St. Jakob am Thurn;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Dorf 4, 5412 Puch bei Hallein;0662/62 33 93-0;;Dr. Max Kumpfmüller;Dr. Elisabeth Seeliger;Dr. Elisabeth Maria Seeliger;12;IM;;;T522;Dr. Elisabeth Maria Seelinger;St. Jakob am Thurn 4, 5412 Puch bei Hallein;0662/62 33 93-0;
K521;Salzburg;Sankt Johann im Pongau;Nord;Pinzgau-Pongau-Lungau;Krankenanstalt Radstadt Dr. Aufmesser;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Judenbühel 3-5, 5550 Radstadt;06452/7501, 06452/7501-10;http://www.aufmesser.at;Dr. Werner Aufmesser;Dr. Barbara Aufmesser;Dr. Werner Aufmesser;13;GEM;;;T521;Krankenanstalt Radstadt-Obertauern Dr. Aufmesser Gesellschaft mbH;Judenbühel 3-5, 5550 Radstadt;06452/7501, 06452/7501-10;http://www.aufmesser.at
K524;Salzburg;Salzburg(Stadt);Nord;Salzburg-Nord;Landeskrankenhaus Salzburg - Universitätsklinikum der PMU;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Müllner Hauptstraße 48, 5020 Salzburg;0662/4482, 0662/4482-2045;http://www.salk.at/Landeskrankenhaus.html;Univ.-Prof. Dr. Heinrich Magometschnigg;DGKS Margret Hader;Dipl Ing  Klaus Offner;1167;AN, AU, CH, DER, GEM, GGH, HNO, IM, KCH, KI, MKG, NUK, OR, PUL, UC, URO,;AN, CH, IM, KI, PUL,;COR, CT, ECT, MR, PET, STR;T501;Gemeinnützige Salzburger Landeskliniken Betriebsgesellschaft mbH;Müllner Hauptstraße 48, 5020 Salzburg;0662/4482, 0662/4482-2045;http://www.salk.at
K525;Salzburg;Salzburg(Stadt);Nord;Salzburg-Nord;Unfallkrankenhaus Salzburg;ohne Öffentlichkeitsrecht;gemeinnützig;Sonstige;Dr. Franz Rehrl-Platz 5, 5020 Salzburg;0662/6580-0, 0662/6580-362;http://www.auva.at/ukhsalzburg;Dr. Josef Obrist;DGKP Mag. Helmut Walchshofer;Dr. Herbert Koutny;138;UC;;CT, MR;T081;Allgemeine Unfallversicherungsanstalt, Medizinische Direktion;Adalbert-Stifter-Straße 65, 1200 Wien;01/33111;http://www.auva.at
K526;Salzburg;Salzburg(Stadt);Nord;Salzburg-Nord;Klinik Diakonissen Salzburg;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Guggenbichlerstraße 20, 5020 Salzburg;0662/6385-0, 0662/6385-405;http://www.diakonie-zentrum.at;Prim. Dr. Thomas Speil;Bakk. Waltraud Brandstätter;MMag. Michael König;80;AU, CH, DER, GGH, HNO, IM, Intensivbetreuung (Fachhauptbereiche - andere), KI, NC, NEU, OR, PCH, PUL, UC, URO, ZMK;;CT;T542;Klinik Diakonissen Salzburg Gesellschaft mbH;Kroatengasse 7, 4014 Linz, Donau;;
K527;Salzburg;Salzburg(Stadt);Nord;Salzburg-Nord;Krankenhaus der Barmherzigen Brüder  Salzburg;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Kajetanerplatz 1, 5010 Salzburg;0662/8088, 0662/8088-8203;http://www.barmherzige-brueder.at;Univ.-Prof. Prim. Dr. Friedrich Hoppichler;MBA Margareta Bruckner;Mag. Werner Jakob Lassacher;235;AN, CH, GGH, IM, PCH, URO;AN, IM;CT, ECT;T580;Konvent der Barmherzigen Brüder vom Hl. Johannes von Gott;Kajetanerplatz 1, 5010 Salzburg;0662/8088, 0662/8088-8203;http://www.barmherzige-brueder.at
K528;Salzburg;Salzburg(Stadt);Nord;Salzburg-Nord;Christian-Doppler-Klinik Salzburg - Universitätsklinikum der PMU;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Ignaz-Harrer-Straße 79, 5020 Salzburg;0662/4483-2004, 0662/4483-2222;http://www.salk.at/Christian-Doppler-Klinik.html;HR Prim. Priv.-Doz. Dr. Reinhold Fartacek;DGKP Gerhard Salzlechner;Mag. MMBA Gabriela Neumaier;563;IM, KJP, NC, NEU, PSY,;NC, NEU;CT, ECT, MR;T501;Gemeinnützige Salzburger Landeskliniken Betriebsgesellschaft mbH;Müllner Hauptstraße 48, 5020 Salzburg;0662/4482, 0662/4482-2045;http://www.salk.at
K530;Salzburg;Salzburg(Stadt);Nord;Salzburg-Nord;Privatklinik Wehrle Salzburg;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Haydnstraße 18, 5020 Salzburg;0662/905 09-0, 0662/905 09-7;http://www.privatklinik-wehrle.at;Prim. Dr. Harald Mühlbacher;Claudia Kreuzer;Mag. Ines Weiher;78;GEM;;;T060;PremiQaMed Privatkliniken Gesellschaft mbH;Heiligenstädterstraße 46-48/10, 1190 Wien;;
K533;Salzburg;Sankt Johann im Pongau;Nord;Pinzgau-Pongau-Lungau;Landesklinik St. Veit;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;St. Veiter-Straße 46, 5621 St. Veit im Pongau;06415/7201-0, 06415/7201-6606;http://www.salk.at/Landesklinik_St._Veit.html;Univ.-Doz. Prim. Dr. Bertram Hölzl;DGKS Maria Wölfler;MBA Hubert Hettegger;94;IM, OR;;;T501;Gemeinnützige Salzburger Landeskliniken Betriebsgesellschaft mbH;Müllner Hauptstraße 48, 5020 Salzburg;0662/4482, 0662/4482-2045;http://www.salk.at
K534;Salzburg;Sankt Johann im Pongau;Nord;Pinzgau-Pongau-Lungau;Krankenhaus der Kardinal Schwarzenberg'sches Krankenhaus BetriebsgmbH Schwarzach;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Kardinal Schwarzenbergstraße 2-6, 5620 Schwarzach im Pongau;06415/7101-0, 06415/7101-2209;http://www.kh-schwarzach.at;Univ.-Prof. Prim. Dr. Reinhard Lenzhofer;DGKS Pauline Mohr;Geschäftsführer Dipl. KHBW  Karl Obermaier;516;AN, CH, GGH, HNO, IM, KI, NEU, NUK, OR, PSY, UC;AN, IM, KI;COR, CT, ECT, MR;T502;Kardinal Schwarzenberg'sche Krankenhaus Betriebsgesellschaft mbH Schwarzach im Pongau;Kardinal-Schwarzenbergstraße 2, 5620 Schwarzach im Pongau;06415/7101-0, 06415/7101-2209;http://www.kh-schwarzach.at
K535;Salzburg;Tamsweg;Nord;Pinzgau-Pongau-Lungau;Allgemeines öffentliches Krankenhaus Tamsweg des Landes Salzburg;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Bahnhofstraße 7, 5580 Tamsweg;06474/7381-0, 06474/7381-202;http://www.kh-tamsweg.at;Prim. Dr. Vaclav Ruzicka;DGKS Gerti Oberreiter;Mag. Andrea Schindler-Perner;139;CH, GEM, GGH, IM, UC;GEM;CT;T537;Land Salzburg - Abt 8 - Finanz- und Vermögensverwaltung des Amtes der Salzburger Landesregierung;Kaigasse 2a, 5020 Salzburg;;
